Date,Home,Away,Time,TV
Friday 25 October 2024,Chicago Blackhawks,Nashville Predators,20:30,
Friday 25 October 2024,Edmonton Oilers,Pittsburgh Penguins,21:00,
Saturday 26 October 2024,Buffalo Sabres,Detroit Red Wings,13:00,
Saturday 26 October 2024,Philadelphia Flyers,Minnesota Wild,13:00,
Saturday 26 October 2024,Los Angeles Kings,Utah Jazz,16:00,
Saturday 26 October 2024,Boston Bruins,Toronto Maple Leafs,19:00,
Saturday 26 October 2024,Montreal Canadiens,St. Louis Blues,19:00,
Saturday 26 October 2024,Tampa Bay Lightning,Washington Capitals,19:00,
Saturday 26 October 2024,New York Rangers,Anaheim Ducks,19:00,
Saturday 26 October 2024,Calgary Flames,Winnipeg Jets,19:00,
Saturday 26 October 2024,New York Islanders,Florida Panthers,19:30,
Saturday 26 October 2024,Nashville Predators,Columbus Blue Jackets,20:00,
Saturday 26 October 2024,Dallas Stars,Chicago Blackhawks,20:00,
Saturday 26 October 2024,Vancouver Canucks,Pittsburgh Penguins,22:00,
Saturday 26 October 2024,Vegas Golden Knights,San Jose Sharks,22:00,
Saturday 26 October 2024,Seattle Kraken,Carolina Hurricanes,22:00,
Sunday 27 October 2024,Detroit Red Wings,Edmonton Oilers,18:00,
Sunday 27 October 2024,New Jersey Devils,Anaheim Ducks,19:00,
Sunday 27 October 2024,Philadelphia Flyers,Montreal Canadiens,19:00,
Sunday 27 October 2024,Colorado Avalanche,Ottawa Senators,21:00,
Monday 28 October 2024,Buffalo Sabres,Florida Panthers,19:00,
Monday 28 October 2024,Tampa Bay Lightning,Nashville Predators,19:00,
Monday 28 October 2024,Columbus Blue Jackets,Edmonton Oilers,19:00,
Monday 28 October 2024,Winnipeg Jets,Toronto Maple Leafs,19:30,
Monday 28 October 2024,Colorado Avalanche,Chicago Blackhawks,21:00,
Monday 28 October 2024,Utah Jazz,San Jose Sharks,21:00,
Monday 28 October 2024,Vancouver Canucks,Carolina Hurricanes,22:00,
Monday 28 October 2024,Vegas Golden Knights,Calgary Flames,22:00,
Tuesday 29 October 2024,Boston Bruins,Philadelphia Flyers,19:00,
Tuesday 29 October 2024,Montreal Canadiens,Seattle Kraken,19:00,
Tuesday 29 October 2024,Ottawa Senators,St. Louis Blues,19:00,
Tuesday 29 October 2024,Washington Capitals,New York Rangers,19:00,
Tuesday 29 October 2024,New York Islanders,Anaheim Ducks,19:30,
Tuesday 29 October 2024,Pittsburgh Penguins,Minnesota Wild,19:30,
Tuesday 29 October 2024,San Jose Sharks,Los Angeles Kings,22:00,
Wednesday 30 October 2024,Columbus Blue Jackets,New York Rangers,19:00,
Wednesday 30 October 2024,Detroit Red Wings,Winnipeg Jets,19:30,
Wednesday 30 October 2024,Colorado Avalanche,Tampa Bay Lightning,21:00,
Wednesday 30 October 2024,Utah Jazz,Calgary Flames,21:30,
Wednesday 30 October 2024,Vancouver Canucks,New Jersey Devils,22:30,
Wednesday 30 October 2024,Los Angeles Kings,Vegas Golden Knights,22:30,
Thursday 31 October 2024,Toronto Maple Leafs,Seattle Kraken,19:00,
Thursday 31 October 2024,Philadelphia Flyers,St. Louis Blues,19:00,
Thursday 31 October 2024,Pittsburgh Penguins,Anaheim Ducks,19:00,
Thursday 31 October 2024,Washington Capitals,Montreal Canadiens,19:00,
Thursday 31 October 2024,Carolina Hurricanes,Boston Bruins,19:00,
Thursday 31 October 2024,Nashville Predators,Edmonton Oilers,20:00,
Thursday 31 October 2024,San Jose Sharks,Chicago Blackhawks,22:30,
Friday 1 November 2024,Dallas Stars,Florida Panthers,13:00,
Friday 1 November 2024,Buffalo Sabres,New York Rangers,19:00,
Friday 1 November 2024,New York Islanders,Ottawa Senators,19:00,
Friday 1 November 2024,Columbus Blue Jackets,Winnipeg Jets,19:00,
Friday 1 November 2024,Minnesota Wild,Tampa Bay Lightning,20:00,
Friday 1 November 2024,Calgary Flames,New Jersey Devils,21:00,
Saturday 2 November 2024,Florida Panthers,Dallas Stars,11:00,
Saturday 2 November 2024,Philadelphia Flyers,Boston Bruins,13:00,
Saturday 2 November 2024,Los Angeles Kings,Chicago Blackhawks,16:00,
Saturday 2 November 2024,Washington Capitals,Columbus Blue Jackets,17:00,
Saturday 2 November 2024,Ottawa Senators,Seattle Kraken,19:00,
Saturday 2 November 2024,Detroit Red Wings,Buffalo Sabres,19:00,
Saturday 2 November 2024,Pittsburgh Penguins,Montreal Canadiens,19:00,
Saturday 2 November 2024,St. Louis Blues,Toronto Maple Leafs,19:00,
