Date,Home,Away,Time,TV
Monday 11 November 2024,San Antonio Spurs,Sacramento Kings,20:00,NBA League Pass
Tuesday 12 November 2024,Philadelphia 76ers,New York Knicks,19:30,TNT
Tuesday 12 November 2024,Golden State Warriors,Dallas Mavericks,22:00,TNT
Tuesday 12 November 2024,Boston Celtics,Atlanta Hawks,19:00,NBA League Pass
Tuesday 12 November 2024,Detroit Pistons,Miami Heat,19:00,NBA League Pass
Tuesday 12 November 2024,Orlando Magic,Charlotte Hornets,19:00,NBA League Pass
Tuesday 12 November 2024,Milwaukee Bucks,Toronto Raptors,20:00,NBA League Pass
Tuesday 12 November 2024,Utah Jazz,Phoenix Suns,21:00,NBA League Pass
Tuesday 12 November 2024,Portland Trail Blazers,Minnesota Timberwolves,22:00,NBA League Pass
Wednesday 13 November 2024,Oklahoma City Thunder,New Orleans Pelicans,19:30,ESPN
Wednesday 13 November 2024,Los Angeles Lakers,Memphis Grizzlies,22:00,ESPN
Wednesday 13 November 2024,Orlando Magic,Indiana Pacers,19:00,NBA League Pass
Wednesday 13 November 2024,Brooklyn Nets,Boston Celtics,19:30,NBA League Pass
Wednesday 13 November 2024,New York Knicks,Chicago Bulls,19:30,NBA League Pass
Wednesday 13 November 2024,Philadelphia 76ers,Cleveland Cavaliers,19:30,NBA League Pass
Wednesday 13 November 2024,Houston Rockets,LA Clippers,20:00,NBA League Pass
Wednesday 13 November 2024,Milwaukee Bucks,Detroit Pistons,20:00,NBA League Pass
Wednesday 13 November 2024,San Antonio Spurs,Washington Wizards,20:00,NBA League Pass
Wednesday 13 November 2024,Portland Trail Blazers,Minnesota Timberwolves,22:00,NBA League Pass
Wednesday 13 November 2024,Sacramento Kings,Phoenix Suns,22:00,NBA League Pass
Thursday 14 November 2024,Utah Jazz,Dallas Mavericks,21:00,NBATV
Friday 15 November 2024,San Antonio Spurs,Los Angeles Lakers,19:30,ESPN
Friday 15 November 2024,Golden State Warriors,Memphis Grizzlies,22:00,ESPN
Friday 15 November 2024,Indiana Pacers,Miami Heat,19:00,NBA League Pass
Friday 15 November 2024,Orlando Magic,Philadelphia 76ers,19:00,NBA League Pass
Friday 15 November 2024,Toronto Raptors,Detroit Pistons,19:00,NBA League Pass
Friday 15 November 2024,Atlanta Hawks,Washington Wizards,19:30,NBA League Pass
Friday 15 November 2024,Cleveland Cavaliers,Chicago Bulls,19:30,NBA League Pass
Friday 15 November 2024,New York Knicks,Brooklyn Nets,19:30,NBA League Pass
Friday 15 November 2024,Houston Rockets,LA Clippers,20:00,NBA League Pass
Friday 15 November 2024,New Orleans Pelicans,Denver Nuggets,20:00,NBA League Pass
Friday 15 November 2024,Oklahoma City Thunder,Phoenix Suns,20:00,NBA League Pass
Friday 15 November 2024,Sacramento Kings,Minnesota Timberwolves,22:00,NBA League Pass
Saturday 16 November 2024,Dallas Mavericks,San Antonio Spurs,20:30,NBATV
Saturday 16 November 2024,Charlotte Hornets,Milwaukee Bucks,15:00,NBA League Pass
Saturday 16 November 2024,Boston Celtics,Toronto Raptors,20:00,NBA League Pass
Saturday 16 November 2024,New Orleans Pelicans,Los Angeles Lakers,20:00,NBA League Pass
