Saturday 18 January 2024,Indiana Pacers,Philadelphia 76ers,19:00,NBA League Pass
Saturday 18 January 2024,Golden State Warriors,Washington Wizards,20:30,NBA League Pass
Saturday 18 January 2024,Minnesota Timberwolves,Cleveland Cavaliers,21:00,NBA League Pass
Saturday 18 January 2024,Portland Trail Blazers,Houston Rockets,22:00,NBA League Pass
Sunday 19 January 2024,Miami Heat,San Antonio Spurs,15:00,NBA League Pass
Sunday 19 January 2024,Orlando Magic,Denver Nuggets,18:00,NBA League Pass
Sunday 19 January 2024,Milwaukee Bucks,Philadelphia 76ers,19:00,NBA League Pass
Sunday 19 January 2024,Oklahoma City Thunder,Brooklyn Nets,19:00,NBA League Pass
Sunday 19 January 2024,LA Clippers,Los Angeles Lakers,21:00,NBA League Pass
Sunday 19 January 2024,Portland Trail Blazers,Chicago Bulls,21:00,NBA League Pass
Sunday 19 January 2024,Sacramento Kings,Washington Wizards,21:00,NBA League Pass
Monday 20 January 2024,Houston Rockets,Detroit Pistons,14:00,NBA League Pass
Monday 20 January 2024,New York Knicks,Atlanta Hawks,15:00,NBA League Pass
Monday 20 January 2024,Cleveland Cavaliers,Phoenix Suns,15:30,NBA League Pass
Monday 20 January 2024,Charlotte Hornets,Dallas Mavericks,12:00,NBATV
Monday 20 January 2024,Memphis Grizzlies,Minnesota Timberwolves,14:30,TNT
Monday 20 January 2024,Golden State Warriors,Boston Celtics,17:00,TNT
Monday 20 January 2024,New Orleans Pelicans,Utah Jazz,20:00,NBA League Pass
Tuesday 21 January 2024,Brooklyn Nets,New York Knicks,19:30,TNT
Tuesday 21 January 2024,Miami Heat,Portland Trail Blazers,19:30,NBA League Pass
Tuesday 21 January 2024,Toronto Raptors,Orlando Magic,19:30,NBA League Pass
Tuesday 21 January 2024,Denver Nuggets,Philadelphia 76ers,22:00,TNT
Tuesday 21 January 2024,Los Angeles Lakers,Washington Wizards,22:30,NBA League Pass
Tuesday 21 January 2024,LA Clippers,Chicago Bulls,22:30,NBA League Pass
Wednesday 22 January 2024,Atlanta Hawks,Detroit Pistons,19:30,NBA League Pass
Wednesday 22 January 2024,Brooklyn Nets,Phoenix Suns,19:30,NBA League Pass
Wednesday 22 January 2024,Houston Rockets,Cleveland Cavaliers,20:00,NBA League Pass
Wednesday 22 January 2024,Memphis Grizzlies,Charlotte Hornets,20:00,NBA League Pass
Wednesday 22 January 2024,New Orleans Pelicans,Milwaukee Bucks,20:00,NBA League Pass
Wednesday 22 January 2024,Oklahoma City Thunder,Utah Jazz,20:00,NBA League Pass
Wednesday 22 January 2024,LA Clippers,Boston Celtics,22:30,NBA League Pass
Thursday 23 January 2024,Orlando Magic,Portland Trail Blazers,19:00,NBA League Pass
Thursday 23 January 2024,Milwaukee Bucks,Miami Heat,19:30,TNT
Thursday 23 January 2024,Atlanta Hawks,Toronto Raptors,19:30,NBA League Pass
Thursday 23 January 2024,Oklahoma City Thunder,Dallas Mavericks,20:00,NBA League Pass
Thursday 23 January 2024,Denver Nuggets,Sacramento Kings,21:00,NBA League Pass
Thursday 23 January 2024,Utah Jazz,Washington Wizards,21:00,NBA League Pass
Thursday 23 January 2024,Golden State Warriors,Chicago Bulls,22:00,NBA League Pass
Thursday 23 January 2024,Los Angeles Lakers,Boston Celtics,22:00,TNT
Friday 24 January 2024,Charlotte Hornets,Portland Trail Blazers,19:00,NBA League Pass
Friday 24 January 2024,Philadelphia 76ers,Cleveland Cavaliers,19:00,NBA League Pass
Saturday 25 January 2024,Minnesota Timberwolves,Denver Nuggets,15:00,ABC
Saturday 25 January 2024,Dallas Mavericks,Boston Celtics,17:30,ABC
Saturday 25 January 2024,Brooklyn Nets,Miami Heat,18:00,NBA League Pass
Saturday 25 January 2024,Charlotte Hornets,New Orleans Pelicans,19:00,NBA League Pass
Saturday 25 January 2024,Orlando Magic,Detroit Pistons,19:00,NBA League Pass
Saturday 25 January 2024,Atlanta Hawks,Toronto Raptors,19:30,NBA League Pass
Saturday 25 January 2024,Cleveland Cavaliers,Houston Rockets,19:30,NBA League Pass
Saturday 25 January 2024,New York Knicks,Sacramento Kings,19:30,NBA League Pass
Saturday 25 January 2024,Chicago Bulls,Philadelphia 76ers,20:00,NBA League Pass
Saturday 25 January 2024,Memphis Grizzlies,Utah Jazz,20:00,NBA League Pass
Saturday 25 January 2024,Golden State Warriors,Los Angeles Lakers,20:30,ABC
Saturday 25 January 2024,Phoenix Suns,Washington Wizards,21:00,NBA League Pass
Saturday 25 January 2024,LA Clippers,Milwaukee Bucks,22:30,NBA League Pass
Sunday 26 January 2024,Portland Trail Blazers,Oklahoma City Thunder,18:00,NBA League Pass
Monday 27 January 2024,Charlotte Hornets,Los Angeles Lakers,19:00,NBA League Pass
Monday 27 January 2024,Boston Celtics,Houston Rockets,19:30,NBA League Pass
Monday 27 January 2024,Brooklyn Nets,Sacramento Kings,19:30,NBA League Pass
Monday 27 January 2024,Miami Heat,Orlando Magic,19:30,NBA League Pass
Monday 27 January 2024,New York Knicks,Memphis Grizzlies,19:30,NBA League Pass
Monday 27 January 2024,Toronto Raptors,New Orleans Pelicans,19:30,NBA League Pass
Monday 27 January 2024,Chicago Bulls,Denver Nuggets,20:00,NBA League Pass
Monday 27 January 2024,Minnesota Timberwolves,Atlanta Hawks,20:00,NBA League Pass
Monday 27 January 2024,Dallas Mavericks,Washington Wizards,20:30,NBA League Pass
Monday 27 January 2024,Utah Jazz,Milwaukee Bucks,21:00,NBA League Pass
Tuesday 28 January 2024,Philadelphia 76ers,Los Angeles Lakers,19:30,TNT
Tuesday 28 January 2024,Portland Trail Blazers,Milwaukee Bucks,22:00,TNT
Tuesday 28 January 2024,Golden State Warriors,Utah Jazz,22:00,NBA League Pass
Wednesday 29 January 2024,Charlotte Hornets,Brooklyn Nets,19:00,NBA League Pass
Wednesday 29 January 2024,Indiana Pacers,Detroit Pistons,19:00,NBA League Pass
Wednesday 29 January 2024,Washington Wizards,Toronto Raptors,19:00,NBA League Pass
